year,station_id,month,day,date,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge
2006,3036,11,334,2006-11-30,322.0,319.0,325.0,0.0,16,23.0,17.0,1.0,2000.0
2012,3042,11,335,2012-11-30,212.0,212.0,212.0,0.0,46,56.0,12.0,1.0,1950.0
2019,3036,11,324,2019-11-20,221.0,203.0,239.0,0.0,46,18.0,5.0,1.0,2110.0
2012,3106,11,335,2012-11-30,220.0,220.0,220.0,0.0,46,45.0,24.0,1.0,314.0
1993,3169,10,304,1993-10-31,354.0,354.0,354.0,0.0,46,16.0,1.0,1.0,368.0
1987,3229,10,304,1987-10-31,155.0,155.0,155.0,0.0,16,20.0,7.0,1.0,1080.0
2009,3229,11,314,2009-11-10,130.0,130.0,130.0,0.0,16,26.0,4.0,1.0,1100.0
1986,3554,12,365,1986-12-31,314.0,314.0,314.0,0.0,"14,46",60.0,25.0,1.0,36.5
2012,3106,11,325,2012-11-20,247.0,246.0,247.0,0.0,46,37.0,22.0,1.0,272.0
2010,3042,11,319,2010-11-15,227.0,222.0,231.0,0.0,15,18.0,11.0,1.0,2340.0
1995,3042,11,324,1995-11-20,54.0,54.0,54.0,0.0,46,36.0,5.0,1.0,1250.0
1992,3021,11,325,1992-11-20,176.0,176.0,176.0,0.0,16,28.0,10.0,1.0,505.0
2018,3169,11,319,2018-11-15,268.0,268.0,268.0,0.0,46,24.0,8.0,1.0,220.0
1988,3036,11,330,1988-11-25,191.0,189.0,192.0,0.0,15,23.0,10.0,1.0,1480.0
1991,3036,11,329,1991-11-25,174.0,170.0,177.0,0.0,16,28.0,14.0,1.0,1620.0
1988,3042,11,325,1988-11-20,173.0,173.0,173.0,0.0,16,52.0,6.0,1.0,1480.0
2007,3229,11,334,2007-11-30,229.0,229.0,229.0,0.0,16,49.0,5.0,1.0,1720.0
2014,3036,11,329,2014-11-25,273.0,273.0,273.0,0.0,15,30.0,13.0,1.0,1770.0
2003,3036,11,319,2003-11-15,137.0,134.0,140.0,0.0,15,15.0,3.0,1.0,1310.0
2011,3554,11,324,2011-11-20,345.0,345.0,345.0,0.0,46,8.0,2.0,1.0,205.0
