station_id,year,month,day,route_type,snow_coverage_near_station,snow_coverage_route,ice_crust_route,snow_height_aver,snow_height_max,snow_height_min,snow_density_aver,ice_crust_aver,snow_saturated_thickness,water_thickness,water_in_snow,water_total,snow_coverage_charact,snow_charact,snow_height,snow_coverage_station,snow_height_q1,snow_height_q2,snow_height_q3,temperature_20cm,temperature_20cm_qual,temperature_40cm,temperature_40cm_qual,temperature_80cm,temperature_80cm_qual,temperature_120cm,temperature_120cm_qual,temperature_160cm,temperature_160cm_qual,temperature_240cm,temperature_240cm_qual,temperature_320cm,temperature_320cm_qual,temperature_ks_5cm,temperature_ks_5cm_qual,temperature_ks_10cm,temperature_ks_10cm_qual,temperature_ks_15cm,temperature_ks_15cm_qual,temperature_ks_20cm,temperature_ks_20cm_qual,date
30493,2000,11,331,,,,,,,,,,,,,,,,16.0,10.0,0.0,0.0,0.0,-97.0,0.0,-63.0,0.0,9999.0,9.0,-1.0,0.0,80.0,1.0,9999.0,9.0,9999.0,9.0,,,,,,,,,2000-11-26
31004,1986,10,292,,,,,,,,,,,,,,,,9.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1986-10-19
30253,2001,8,224,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2001-08-12
30253,1989,12,349,,,,,,,,,,,,,,,,45.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1989-12-15
30328,1998,1,9,,,,,,,,,,,,,,,,33.0,10.0,0.0,0.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,32.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1998-01-09
30054,1989,10,291,,,,,,,,,,,,,,,,12.0,10.0,0.0,0.0,0.0,9.0,0.0,19.0,0.0,38.0,0.0,9999.0,9.0,61.0,0.0,9999.0,9.0,56.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-10-18
24643,2003,12,361,,,,,,,,,,,,,,,,35.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2003-12-27
24951,1990,11,311,,,,,,,,,,,,,,,,7.0,10.0,0.0,0.0,0.0,-92.0,0.0,-26.0,0.0,-3.0,0.0,-4.0,0.0,-8.0,0.0,-11.0,0.0,-13.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1990-11-07
30230,2008,1,23,,,,,,,,,,,,,,,,32.0,10.0,0.0,0.0,0.0,9999.0,9.0,-94.0,0.0,-59.0,0.0,9999.0,9.0,-7.0,0.0,9999.0,9.0,26.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2008-01-23
24713,2018,11,306,,,,,,,,,,,,,,,,12.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2018-11-02
24763,1999,9,251,,,,,,,,,,,,,,,,0.0,99.0,1.0,0.0,0.0,,,,,,,,,,,,,,,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1999-09-08
31026,1999,1,28,,,,,,,,,,,,,,,,47.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1999-01-28
24967,2018,1,5,,,,,,,,,,,,,,,,33.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2018-01-05
24641,2003,9,248,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,109.0,0.0,91.0,0.0,81.0,0.0,75.0,0.0,54.0,0.0,29.0,0.0,12.0,0.0,,,,,,,,,2003-09-05
24933,2001,9,248,,,,,,,,,,,,,,,,0.0,99.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2001-09-05
24671,2013,12,337,,,,,,,,,,,,,,,,18.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2013-12-03
24641,1992,1,25,,,,,,,,,,,,,,,,46.0,10.0,0.0,0.0,0.0,9999.0,9.0,-106.0,0.0,-77.0,0.0,-58.0,0.0,-42.0,0.0,-6.0,0.0,0.0,0.0,,,,,,,,,1992-01-25
30337,2016,6,166,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2016-06-14
30337,2015,7,188,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2015-07-07
30471,2006,11,317,,,,,,,,,,,,,,,,17.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2006-11-13
