station_id,year,month,data_qual,precipitation_observed,precipitation_corrected,precipitation_corrected_liquid,precipitation_corrected_mixed,precipitation_corrected_solid,sunshine_hours,date,day
30219,2004,7,0.0,88.7,89.3,88.8,0.5,0.0,236.0,2004-07-01,183
24817,2000,2,0.0,7.2,9.8,0.0,0.0,9.8,176.0,2000-02-01,32
30328,2010,1,0.0,24.2,24.2,0.0,0.0,24.2,60.0,2010-01-01,1
30219,1985,9,0.0,43.7,44.6,44.2,0.4,0.0,147.0,1985-09-01,244
30054,2012,7,0.0,83.6,84.8,84.8,0.0,0.0,283.0,2012-07-01,183
24944,1996,1,0.0,17.7,27.2,0.0,0.0,27.2,34.0,1996-01-01,1
30493,1995,11,0.0,15.6,18.6,0.0,0.0,18.6,74.0,1995-11-01,305
24933,2006,12,0.0,19.2,22.8,0.0,0.0,22.8,8.0,2006-12-01,335
24933,1991,1,0.0,7.6,9.6,0.0,0.0,9.6,58.0,1991-01-01,1
24959,2007,9,0.0,29.7,33.7,33.7,0.0,0.0,190.0,2007-09-01,244
30252,1993,12,0.0,33.0,35.5,0.0,0.0,35.5,11.0,1993-12-01,335
30219,2012,11,0.0,27.1,29.4,4.9,2.2,22.3,59.0,2012-11-01,306
24641,1989,2,0.0,13.7,17.4,0.0,0.0,17.4,65.0,1989-02-01,32
30372,1991,1,0.0,8.0,8.9,0.0,0.0,8.9,88.0,1991-01-01,1
30230,2000,7,0.0,82.9,85.5,85.5,0.0,0.0,256.0,2000-07-01,183
30252,1996,9,0.0,42.4,42.5,41.0,0.0,1.5,122.0,1996-09-01,245
24738,1992,11,0.0,18.9,22.8,0.0,0.0,22.8,56.0,1992-11-01,306
24944,1997,9,0.0,89.9,94.2,92.8,0.0,1.4,72.0,1997-09-01,244
30252,1988,12,0.0,14.5,16.0,0.0,0.0,16.0,35.0,1988-12-01,336
30219,2002,12,0.0,13.7,14.7,0.0,0.0,14.7,85.0,2002-12-01,335
